date,South,West,WDIR,WSPD
2010/9/20,0.040567656,-0.701291123,273.310705,0.702463503
2010/9/21,-2.206575672,-1.246800393,209.468124,2.534459985
2010/9/22,-1.055788562,-0.606306107,209.8673937,1.21749603
2010/9/23,0.133340559,-0.312200961,293.1272548,0.339483644
2010/9/24,0.26697366,-0.187393227,324.9343485,0.326176573
2010/9/25,0.202622996,-0.026330714,352.5959452,0.204326663
2010/9/26,0.627939277,0.065120877,5.920733443,0.631306949
2010/9/27,0.305096965,-0.058781658,349.0947047,0.310707968
2010/9/28,-0.11772444,0.378091901,107.2947405,0.395995617
2010/9/29,0.759946292,0.260637442,18.93034004,0.80339918
2010/9/30,0.373640367,-0.069077574,349.5255867,0.379972151
2010/10/1,-0.21362475,-0.468334596,245.480515,0.514755115
2010/10/2,-0.355733821,-0.593724481,239.0717971,0.692138217
2010/10/3,-0.232777506,-0.925742488,255.8856171,0.954559858
2010/10/4,0.112521238,-2.899247232,272.2225625,2.901429913
2010/10/5,-2.371801759,-3.588547249,236.5378297,4.301524723
2010/10/6,-3.212857188,0.877559141,164.7228843,3.330549708
2010/10/7,-0.267228497,0.657027786,112.1327201,0.709293015
2010/10/8,2.760620551,-1.173959749,336.9622736,2.999867883
2010/10/9,1.06629152,-0.245749626,347.0215896,1.094244253
2010/10/10,0.113390522,-0.095301018,319.9540486,0.148120541
2010/10/11,-2.018266183,-0.722528236,199.6970891,2.143699008
2010/10/12,-0.895287154,-0.63762551,215.4585545,1.099138472
2010/10/13,1.552740804,-0.814277833,332.3268885,1.753297577
2010/10/14,-0.582186562,-1.208550668,244.2788171,1.341467819
2010/10/15,-0.925318654,-0.967253898,226.2693407,1.338579364
2010/10/16,-0.753142766,-1.192943253,237.7344879,1.410793263
2010/10/17,-0.619628429,-1.195594063,242.6041049,1.346619677
2010/10/18,-0.891661047,0.034674086,177.7730571,0.892334979
2010/10/19,0.979531796,-0.408021684,337.3859449,1.061114618
2010/10/20,-2.684935081,1.114627264,157.4546471,2.907106865
2010/10/21,-0.508975973,-0.296270734,210.2033334,0.588925198
2010/10/22,1.276775414,-2.217724756,299.929641,2.558995614
2010/10/23,-1.099791681,0.313392336,164.094775,1.143571816
2010/10/24,1.314780122,-1.625121109,308.9740765,2.090374462
2010/10/25,-0.572558025,-1.989081468,253.9415113,2.069847283
2010/10/26,-0.801416194,0.077642302,174.4663759,0.805168456
2010/10/27,0.512890534,0.39108751,37.32611935,0.64498538
2010/10/28,-0.010855662,1.04377702,90.59587554,1.04383347
2010/10/29,0.040079177,-0.016604625,337.4959904,0.043382647
2010/10/30,-0.147517309,-0.831447338,259.9391459,0.844432373
2010/10/31,1.834019892,-0.441592874,346.4620894,1.886433999
2010/11/1,1.623997669,0.081735405,2.881251362,1.62605323
